,postcode,long,lat
103,SE1 8AD,-0.109189966375739,51.5060756159352
104,SW18 2NR,-0.184754661333117,51.4567497746003
105,N13 4TS,-0.112221468543285,51.6087196422668
106,W14 9BG,-0.210177939607083,51.4912491869974
107,E1 3LE,-0.0472228006728979,51.519664088301
108,W4 3HJ,-0.262547666645747,51.4868752080386
109,N2 0DQ,-0.177589308844753,51.5855813905596
110,SW16 2JX,-0.113949421633192,51.4344003333226
111,SE7 7HD,0.0288189722969947,51.4802260961438
112,SE26 6TL,-0.0709484726522863,51.4322885860599
113,E2 0LP,-0.0499044406549521,51.5277480922781
114,E7 8QE,0.044021333652467,51.5435136537033
115,N1 3BE,-0.08941250099647,51.5413745552489
116,NW5 4BN,-0.148575085799394,51.5521969654355
117,NW2 1SS,-0.210424063965241,51.563282135217
