postcode,dataset,n,logadj,n_restarts_optimiser,rbf_ls_init,rbf_ls_lb,rbf_ls_ub,rq_a_init,rq_a_lb,rq_a_ub,rq_ls_init,rq_ls_lb,rq_ls_ub,wk_var_mult_lb,wk_var_mult_ub,alpha_var_multiplier
E15,landreg,9191.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E14,landreg,29109.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E17,landreg,24336.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E16,landreg,10866.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC3R,landreg,133.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC4V,landreg,460.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC4R,landreg,141.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC4Y,landreg,157.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC4A,landreg,330.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC4M,landreg,102.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC1V,landreg,118.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC2A,landreg,675.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC2M,landreg,60.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW20,landreg,9076.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC2Y,landreg,2027.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC1N,landreg,920.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC1H,landreg,1714.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
NW10,landreg,13998.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
NW11,landreg,6645.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC1E,landreg,357.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC1A,landreg,176.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E1W,landreg,5551.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC1B,landreg,313.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW9,landreg,7679.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW8,landreg,9355.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
WC1X,landreg,1145.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW3,landreg,8963.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW2,landreg,13904.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW5,landreg,5513.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW4,landreg,11807.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW7,landreg,7402.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW6,landreg,21041.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
